Property Status,Price,Bed,Bath,Sqft,Lot Size,Address,Link
House for sale,"$1,497,240",5,4.5,"5,306sqft",0.28acre lot,"3745 Guinn Gate Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/3745-Guinn-Gate-Dr_Frisco_TX_75034_M70654-66207?from=srp-list-card
House for sale,"$599,888",3,2.5,"2,205sqft","6,534sqft lot","6278 Culverdale Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/6278-Culverdale-Ln_Frisco_TX_75034_M88940-22087?from=srp-list-card
Townhouse for sale,"$400,000",2,2.5,"1,670sqft","2,178sqft lot","6844 Massa Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/6844-Massa-Ln_Frisco_TX_75034_M87892-65079?from=srp-list-card
Townhouse for sale,"$299,000",2,2.5,"1,014sqft","3,049sqft lot","8400 Hickory St Unit 4004 Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/8400-Hickory-St-Unit-4004_Frisco_TX_75034_M88187-79736?from=srp-list-card
Townhouse for sale,"$310,000",3,2,"1,466sqft","1,466sqft lot","8400 Hickory St Unit 1002 Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/8400-Hickory-St-Unit-1002_Frisco_TX_75034_M77610-02223?from=srp-list-card
House for sale,"$1,450,000",5,4,"3,850sqft",0.24acre lot,"3327 Starling Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/3327-Starling-Dr_Frisco_TX_75034_M70713-57986?from=srp-list-card
House for sale,"$5,575,000",5,4.5+,"6,800sqft",0.47acre lot,"3686 Balfour Ct Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/3686-Balfour-Ct_Frisco_TX_75034_M90449-24059?from=srp-list-card
House for sale,"$1,100,000",5,4,"4,249sqft","9,670sqft lot","4557 Liam Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4557-Liam-Dr_Frisco_TX_75034_M76616-39848?from=srp-list-card
House for sale,"$619,000",4,2.5,"3,034sqft","6,098sqft lot","5800 Palomino Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5800-Palomino-Dr_Frisco_TX_75034_M79419-03886?from=srp-list-card
Contingent,"$1,699,000",5,4.5,"5,236sqft",0.3acre lot,"5934 Shy Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5934-Shy-Dr_Frisco_TX_75034_M88276-44873?from=srp-list-card
Contingent,"$499,000",3,2,"2,297sqft","6,708sqft lot","5606 Bay Meadows Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5606-Bay-Meadows-Dr_Frisco_TX_75034_M75525-64176?from=srp-list-card
House for sale,"$599,000",4,3.5,"2,840sqft","7,449sqft lot","5402 Brookhill Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5402-Brookhill-Ln_Frisco_TX_75034_M82708-66625?from=srp-list-card
Townhouse for sale,"$279,900",2,1.5,924sqft,"2,439sqft lot","7182 Hickory St Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/7182-Hickory-St_Frisco_TX_75034_M85977-01810?from=srp-list-card
House for sale,"$1,350,000",4,4,"4,276sqft",0.33acre lot,"3858 Rittenhouse St Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/3858-Rittenhouse-St_Frisco_TX_75034_M70819-29621?from=srp-list-card
House for sale,"$999,000",4,3.5,"3,236sqft","9,017sqft lot","4637 Shadow Ridge Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4637-Shadow-Ridge-Dr_Frisco_TX_75034_M87406-35715?from=srp-list-card
House for sale,"$1,550,000",5,4.5+,"5,034sqft",0.29acre lot,"5957 Aberdeen Pl Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5957-Aberdeen-Pl_Frisco_TX_75034_M78041-81191?from=srp-list-card
Pending,"$5,650,000",5,5.5,"8,864sqft",0.37acre lot,"3493 Midwick Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/3493-Midwick-Dr_Frisco_TX_75034_M94344-98591?from=srp-list-card
House for sale,"$1,299,000",3,3.5,"3,624sqft",0.27acre lot,"6049 Arrowhead Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/6049-Arrowhead-Dr_Frisco_TX_75034_M86175-64160?from=srp-list-card
House for sale,"$1,450,000",5,4.5,"4,809sqft",0.31acre lot,"5179 Shoreline Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5179-Shoreline-Dr_Frisco_TX_75034_M83530-83517?from=srp-list-card
House for sale,"$775,000",3,2.5,"2,821sqft","4,400sqft lot","4173 Wellesley Ave Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4173-Wellesley-Ave_Frisco_TX_75034_M87954-03656?from=srp-list-card
House for sale,"$675,000",4,3.5,"3,094sqft","6,098sqft lot","5272 Evening Sun Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5272-Evening-Sun-Dr_Frisco_TX_75034_M74369-74853?from=srp-list-card
House for sale,"$550,000",3,2,"2,023sqft","6,490sqft lot","4118 Armistice Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4118-Armistice-Dr_Frisco_TX_75034_M87606-35939?from=srp-list-card
Townhouse for sale,"$399,900",2,2.5,"1,670sqft","2,178sqft lot","5928 Pisa Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5928-Pisa-Ln_Frisco_TX_75034_M72334-99107?from=srp-list-card
House for sale,"$1,550,000",4,4.5+,"4,639sqft",0.26acre lot,"4603 Warwick Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4603-Warwick-Ln_Frisco_TX_75034_M81716-57623?from=srp-list-card
Townhouse for sale,"$249,000",1,1.5,884sqft,"1,742sqft lot","8400 Hickory St Unit 103 Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/8400-Hickory-St-Unit-103_Frisco_TX_75034_M81111-14345?from=srp-list-card
Contingent,"$1,700,000",4,4.5,"4,910sqft",0.29acre lot,"5017 Southern Hills Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5017-Southern-Hills-Dr_Frisco_TX_75034_M82256-92996?from=srp-list-card
House for sale,"$1,920,000",5,5.5,"5,449sqft",0.34acre lot,"5340 Jessica Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5340-Jessica-Ln_Frisco_TX_75034_M72189-55974?from=srp-list-card
House for sale,"$450,000",3,2,"1,904sqft","5,619sqft lot","3671 Navarro Way Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/3671-Navarro-Way_Frisco_TX_75034_M86046-46818?from=srp-list-card
Contingent,"$399,000",3,2,"1,800sqft",0.28acre lot,"8620 S County Rd Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/8620-S-County-Rd_Frisco_TX_75034_M85544-23762?from=srp-list-card
House for sale,"$999,000",5,4.5,"4,346sqft","9,583sqft lot","2619 Montreaux Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/2619-Montreaux-Dr_Frisco_TX_75034_M82646-46514?from=srp-list-card
House for sale,"$975,000",5,4,"3,512sqft","7,405sqft lot","6971 Mistley Park Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/6971-Mistley-Park_Frisco_TX_75034_M99663-83130?from=srp-list-card
House for sale,"$360,000",2,2,"1,473sqft","3,920sqft lot","8400 Hickory St Unit 3101 Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/8400-Hickory-St-Unit-3101_Frisco_TX_75034_M80052-16613?from=srp-list-card
House for sale,"$5,999,900",5,6.5,"8,050sqft",0.78acre lot,"3925 Balfour Ct Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/3925-Balfour-Ct_Frisco_TX_75034_M86148-87430?from=srp-list-card
House for sale,"$4,400,000",6,6.5+,"9,787sqft",0.51acre lot,"6 Savannah Ridge Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/6-Savannah-Ridge-Dr_Frisco_TX_75034_M78652-84620?from=srp-list-card
House for sale,"$875,000",4,3,"3,257sqft","6,098sqft lot","5542 Braemar Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5542-Braemar-Dr_Frisco_TX_75034_M87170-53496?from=srp-list-card
House for sale,"$1,127,000",5,4,"3,946sqft",0.23acre lot,"5577 Gadwall Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5577-Gadwall-Dr_Frisco_TX_75034_M79052-19678?from=srp-list-card
House for sale,"$1,925,000",4,4.5+,"5,660sqft","9,583sqft lot","5684 Montreaux Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5684-Montreaux-Dr_Frisco_TX_75034_M70079-81031?from=srp-list-card
House for sale,"$2,895,000",5,5.5+,"6,134sqft",0.35acre lot,"3527 Torrance Blvd Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/3527-Torrance-Blvd_Frisco_TX_75034_M80298-70187?from=srp-list-card
House for sale,"$1,800,000",4,4.5+,"6,766sqft",0.41acre lot,"5150 Spanish Oaks Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5150-Spanish-Oaks_Frisco_TX_75034_M86533-82111?from=srp-list-card
House for sale,"$815,000",4,3.5,"4,190sqft","7,754sqft lot","2778 Sage Ridge Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/2778-Sage-Ridge-Dr_Frisco_TX_75034_M84592-38901?from=srp-list-card
House for sale,"$999,900",4,3,"3,368sqft",0.27acre lot,"21 Canyon Crest Ct Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/21-Canyon-Crest-Ct_Frisco_TX_75034_M85239-36888?from=srp-list-card
House for sale,"$894,900",4,3.5,"4,115sqft","7,579sqft lot","3258 Bainbridge Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/3258-Bainbridge-Ln_Frisco_TX_75034_M74429-22974?from=srp-list-card
House for sale,"$875,000",5,3.5,"3,870sqft","8,886sqft lot","4198 Peace Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4198-Peace-Dr_Frisco_TX_75034_M86492-56597?from=srp-list-card
House for sale,"$800,000",4,3.5,"3,303sqft","8,276sqft lot","4668 Ridgeland Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4668-Ridgeland-Dr_Frisco_TX_75034_M77516-67547?from=srp-list-card
House for sale,"$605,000",4,3.5,"2,983sqft","5,576sqft lot","4460 Connemara Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4460-Connemara-Dr_Frisco_TX_75034_M80447-45812?from=srp-list-card
House for sale,"$3,550,000",5,5.5+,"6,197sqft",0.34acre lot,"1515 Courtland Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/1515-Courtland-Dr_Frisco_TX_75034_M91164-68791?from=srp-list-card
House for sale,"$950,000",4,3.5,"3,244sqft",0.41acre lot,"6474 Oneida Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/6474-Oneida-Dr_Frisco_TX_75034_M71614-36771?from=srp-list-card
House for sale,"$600,000",4,3.5,"2,614sqft","6,621sqft lot","5607 Brookhill Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5607-Brookhill-Ln_Frisco_TX_75034_M88791-12930?from=srp-list-card
House for sale,"$415,000",3,2,"1,501sqft","7,405sqft lot","8594 Creekview Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/8594-Creekview-Dr_Frisco_TX_75034_M80587-49461?from=srp-list-card
House for sale,"$4,200,000",4,4.5+,"6,917sqft",0.69acre lot,"6615 Bluffview Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/6615-Bluffview-Dr_Frisco_TX_75034_M82035-01538?from=srp-list-card
House for sale,"$1,499,900",4,4.5,"4,664sqft","9,148sqft lot","5641 Fairfax Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5641-Fairfax-Dr_Frisco_TX_75034_M81219-38804?from=srp-list-card
House for sale,"$1,650,000",4,3.5+,"5,301sqft",0.34acre lot,"4592 Biltmoore Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4592-Biltmoore-Dr_Frisco_TX_75034_M88420-81620?from=srp-list-card
Contingent,"$324,900",3,2,"1,656sqft","3,920sqft lot","8400 Hickory St Unit 3301 Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/8400-Hickory-St-Unit-3301_Frisco_TX_75034_M82039-45216?from=srp-list-card
Condo for sale,"$355,000",3,2,"1,494sqft","3,049sqft lot","8400 Hickory St Unit 2902 Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/8400-Hickory-St-Unit-2902_Frisco_TX_75034_M85196-54574?from=srp-list-card
House for sale,"$418,000",3,2,"1,791sqft","9,148sqft lot","8720 Woodstream Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/8720-Woodstream-Dr_Frisco_TX_75034_M79592-69510?from=srp-list-card
House for sale,"$1,599,900",4,3.5,"4,418sqft",0.25acre lot,"4637 Biltmoore Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4637-Biltmoore-Dr_Frisco_TX_75034_M85280-36142?from=srp-list-card
