Property Status,Price,Bed,Bath,Sqft,Lot Size,Address,Link
Contingent,"$1,200,000",5,4.5+,"5,166sqft",0.36acre lot,"5221 Southern Hills Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5221-Southern-Hills-Dr_Frisco_TX_75034_M73360-36698?from=srp-list-card
House for sale,"$440,000",3,2,"1,468sqft","7,841sqft lot","8430 Cripple Creek Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/8430-Cripple-Creek-Dr_Frisco_TX_75034_M78541-62585?from=srp-list-card
House for sale,"$934,900",5,5.5+,"4,141sqft","7,492sqft lot","3743 Pistol Creek Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/3743-Pistol-Creek-Dr_Frisco_TX_75034_M73907-76485?from=srp-list-card
House for sale,"$2,700,000",5,6.5,"7,125sqft",0.34acre lot,"6203 Sweeney Trl Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/6203-Sweeney-Trl_Frisco_TX_75034_M84693-79670?from=srp-list-card
Condo for sale,"$1,100,000",2,2.5,"2,578sqft",4.02acre lot,"5270 Town and Country Blvd Apt 312 Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5270-Town-and-Country-Blvd-Apt-312_Frisco_TX_75034_M92121-70701?from=srp-list-card
House for sale,"$899,000",3,2.5,"2,506sqft","5,227sqft lot","1675 Morris Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/1675-Morris-Ln_Frisco_TX_75034_M78063-47874?from=srp-list-card
House for sale,"$729,000",4,3.5,"3,110sqft","9,365sqft lot","5218 Pueblo Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5218-Pueblo-Ln_Frisco_TX_75034_M74556-93545?from=srp-list-card
Contingent,"$575,000",3,2,"2,329sqft","7,057sqft lot","2707 Barnhill Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/2707-Barnhill-Ln_Frisco_TX_75034_M78281-40227?from=srp-list-card
House for sale,"$4,350,000",6,6.5+,"9,040sqft",1.75acre lot,"2001 Creekridge Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/2001-Creekridge-Dr_Frisco_TX_75034_M87256-79079?from=srp-list-card
House for sale,"$3,499,999",6,5.5,"7,378sqft",0.5acre lot,"3820 Touraine Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/3820-Touraine-Dr_Frisco_TX_75034_M87011-82943?from=srp-list-card
